name,season,is_home_game,date,opponent,weather,temperature,wind,duration,kickoff_time,attendance,total_points_scored,average_points_scored,total_first_downs,passing_first_downs,team_qb_passing_completions,team_qb_passing_attempts,team_qb_passing_interceptions,team_qb_passing_avg_per_attempt,team_qb_passing_avg_per_completion,team_qb_passing_touchdowns,team_total_offense_yards,team_total_offense_plays,receiving_offensive_rec.,receiving_offensive_yds.,receiving_offensive_td,receiving_offensive_long
"Adeleke, Adeolu",2021,False,23/10/2021,Campbell,Sunny,0,,02:46,4:05pm,5977,117,39.0,12,5,13,23,2,4.5,8.0,0,188,46,,,,
"Adeleke, Adeolu",2021,False,11/09/2021,Georgia Tech,Sunny,79,,03:12,12:11 PM,35195,17,17.0,20,12,17,23,0,11.0,14.9,4,412,59,1.0,39.0,1.0,39.0
"Adeleke, Adeolu",2021,True,02/09/2021,Reinhardt,Sunny,78,SE 5mph,03:27,08:05 PM,6348,66,33.0,24,4,4,9,1,8.0,18.0,0,404,76,0.0,0.0,0.0,0.0
"Adeleke, Adeolu",2021,False,13/11/2021,North Ala,Sunny,48,NW 7mph,03:04,02:04 PM,7023,109,36.33,20,9,21,34,2,7.3,11.9,3,330,65,2.0,29.0,0.0,25.0
"Adeleke, Adeolu",2021,True,20/11/2021, 24 Monmouth,Sunny,56,E 16mph,03:18,01:05 PM,4630,262,37.43,26,3,4,6,0,16.7,25.0,1,571,73,1.0,22.0,0.0,22.0
"Adeleke, Adeolu",2021,True,02/10/2021,Jacksonville St,Cloudy,81,S 6mph,02:55,03:05 PM,7476,136,34.0,22,5,5,6,0,12.0,14.4,0,343,68,1.0,18.0,0.0,18.0
"Adeleke, Adeolu",2021,False,18/09/2021,Wofford,Cloudy,84,NW 1mph,03:19,06:04 PM,4597,96,24.0,12,8,15,28,1,5.6,10.4,0,223,53,1.0,11.0,0.0,11.0
"Ashley, Qua",2023,False,04/11/2023,Sam Houston,Sunny,73,S 9mph,03:09,12:02 PM,7143,48,24.0,27,11,30,38,1,6.4,8.1,3,347,81,,,,
"Ashley, Qua",2023,True,28/10/2023,Lincoln  CA ,Sunny,81,SE 3mph,03:29,03:03 PM,6013,28,28.0,16,0,0,6,0,0.0,0.0,0,241,54,,,,
"Ashley, Qua",2023,True,11/11/2023,Virginia-Lynchburg,Rain,,,02:58,03:03 PM,5735,63,63.0,33,7,9,12,0,13.0,17.3,2,538,63,,,,
"Ashley, Qua",2024,False,14/09/2024,San Jose St,Sunny,79.0,,03:16,04:05 PM,11090,10,10.0,18,13,26,39,0,9.1,13.7,4,417,64,4.0,51.0,0.0,34.0
"Ashley, Qua",2024,True,07/09/2024,Louisiana,Sunny,78.0,SE 11mph,03:02,07:04 PM,11040,10,10.0,12,5,7,13,0,7.2,13.3,0,204,50,2.0,17.0,0.0,13.0
"Ashley, Qua",2024,False,31/08/2024,UTSA,Sunny,,,03:44,02:32 PM,25911,16,16.0,17,10,28,38,0,8.9,12.1,3,416,72,1.0,51.0,0.0,51.0
"Ashley, Qua",2024,True,28/09/2024,UT Martin,Cloudy,72.0,S 8mph,03:09,06:02 PM,10847,57,28.5,13,6,17,35,2,4.3,8.8,0,215,65,3.0,12.0,0.0,9.0
"Benefield,  Michael",2022,True,24/9/2022,Wofford,Sunny,78.0,SW 7mph,03:04,6:03pm,7830,96,24.0,20,7,11,14,0,7.6,9.7,0,328,63,,,,
"Benefield,  Michael",2022,False,1/9/2022,Samford,Partly Cloudy,89.0,,3:04,6 p.m.,5333,92,23.0,21,11,18,24,0,12.0,16.1,4,402,56,,,,
"Benefield, Michael",2022,True,12/11/2022,Austin Peay,Cloudy,63.0,NW 11mph,03:50,01:02 PM,5201,14,14.0,17,4,8,19,3,5.7,13.5,0,266,70,1.0,12.0,0.0,12.0
"Benefield, Michael",2022,True,08/10/2022,North Ala,Sunny,70.0,S 10mph,03:42,06:02 PM,4505,109,36.33,27,10,13,18,0,9.6,13.2,2,449,87,,,,
"Benefield, Michael",2022,False,01/10/2022,Jacksonville St,Sunny,74.0,SE 10mph,03:21,01:02 PM,19654,136,34.0,14,8,12,23,1,9.7,18.7,2,336,57,0.0,0.0,0.0,0.0
"Benefield, Michael",2022,False,19/11/2022,Eastern Ky,Sunny,,,03:17,03:02 PM,7053,38,38.0,22,16,25,35,0,12.2,17.1,5,564,59,,,,
"Benefield, Michael",2022,True,22/10/2022,Tennessee Tech,Sunny,70.0,N 5mph,03:36,03:02 PM,7906,116,29.0,29,10,15,24,0,9.3,14.9,1,493,81,0.0,0.0,0.0,0.0
"Benefield, Michael",2022,True,15/10/2022,Central Ark,Sunny,67.0,SW 5mph,03:22,01:02 PM,4467,24,24.0,20,11,14,30,1,7.0,15.1,1,392,75,1.0,20.0,0.0,20.0
"Benefield, Michael",2023,False,30/09/2023,Charleston So,Sunny,81,NE 9mph,02:54,06:03 PM,3087,206,25.75,14,8,15,31,0,6.0,12.5,0,265,55,,,,
"Benefield, Michael",2023,True,31/08/2023,Tusculum,Sunny,82,E 6mph,03:18,07:02 PM,10108,38,38.0,19,7,13,19,0,13.1,19.2,2,446,58,1.0,3.0,0.0,3.0
"Benefield, Michael",2023,False,04/11/2023,Sam Houston,Sunny,73,S 9mph,03:09,12:02 PM,7143,48,24.0,27,11,30,38,1,6.4,8.1,3,347,81,1.0,0.0,0.0,0.0
"Benefield, Michael",2023,True,28/10/2023,Lincoln  CA ,Sunny,81,SE 3mph,03:29,03:03 PM,6013,28,28.0,16,0,0,6,0,0.0,0.0,0,241,54,0.0,0.0,0.0,0.0
"Benefield, Michael",2023,False,09/09/2023,Chattanooga,Cloudy,79,NW 6mph,03:02,06:30 PM,8123,20,20.0,23,14,23,28,1,9.9,12.0,3,399,59,,,,
"Benefield, Michael",2023,True,16/09/2023,Furman,Cloudy,69,SE 7mph,03:24,05:03 PM,6993,80,40.0,17,10,17,31,1,9.9,18.1,2,490,63,,,,
"Benefield, Michael",2023,True,07/10/2023,Tennessee St,Sunny,63,SE 13mph,03:46,03:02 PM,10436,20,20.0,17,6,12,31,1,4.6,12.0,0,261,71,2.0,21.0,0.0,15.0
"Benefield, Michael",2023,True,11/11/2023,Virginia-Lynchburg,Rain,,,02:58,03:03 PM,5735,63,63.0,33,7,9,12,0,13.0,17.3,2,538,63,,,,
"Benefield, Michael",2024,False,14/09/2024,San Jose St,Sunny,79.0,,03:16,04:05 PM,11090,10,10.0,18,13,26,39,0,9.1,13.7,4,417,64,2.0,6.0,0.0,9.0
"Benefield, Michael",2024,True,07/09/2024,Louisiana,Sunny,78.0,SE 11mph,03:02,07:04 PM,11040,10,10.0,12,5,7,13,0,7.2,13.3,0,204,50,,,,
"Benefield, Michael",2024,False,31/08/2024,UTSA,Sunny,,,03:44,02:32 PM,25911,16,16.0,17,10,28,38,0,8.9,12.1,3,416,72,,,,
"Benefield, Michael",2024,True,28/09/2024,UT Martin,Cloudy,72.0,S 8mph,03:09,06:02 PM,10847,57,28.5,13,6,17,35,2,4.3,8.8,0,215,65,0.0,0.0,0.0,0.0
"Benyard,  Gabriel",2022,False,1/9/2022,Samford,Partly Cloudy,89.0,,3:04,6 p.m.,5333,92,23.0,21,11,18,24,0,12.0,16.1,4,402,56,1.0,15.0,0.0,15.0
"Benyard, Gabriel",2021,True,27/11/2021,Davidson,Sunny,56,W 6mph,02:56,02:02 PM,2764,48,48.0,21,4,5,8,0,14.0,22.4,1,417,64,,,,
"Benyard, Gabriel",2021,False,6/11/2021,RMU,Sunny,53,SW 4 mph,3:15,Noon,2144,80,40.0,24,16,26,37,1,8.0,11.4,2,396,64,,,,
"Benyard, Gabriel",2021,False,23/10/2021,Campbell,Sunny,0,,02:46,4:05pm,5977,117,39.0,12,5,13,23,2,4.5,8.0,0,188,46,2.0,12.0,1.0,8.0
"Benyard, Gabriel",2021,False,13/11/2021,North Ala,Sunny,48,NW 7mph,03:04,02:04 PM,7023,109,36.33,20,9,21,34,2,7.3,11.9,3,330,65,,,,
"Benyard, Gabriel",2021,True,20/11/2021, 24 Monmouth,Sunny,56,E 16mph,03:18,01:05 PM,4630,262,37.43,26,3,4,6,0,16.7,25.0,1,571,73,,,,
"Benyard, Gabriel",2021,False,18/09/2021,Wofford,Cloudy,84,NW 1mph,03:19,06:04 PM,4597,96,24.0,12,8,15,28,1,5.6,10.4,0,223,53,,,,
"Benyard, Gabriel",2021,True,30/10/2021,Gardner-Webb,Cloudy,56,NE 10mph,03:37,01:05 PM,4041,208,34.67,19,7,12,14,0,14.9,17.4,4,417,60,3.0,61.0,1.0,30.0
"Benyard, Gabriel",2022,True,12/11/2022,Austin Peay,Cloudy,63.0,NW 11mph,03:50,01:02 PM,5201,14,14.0,17,4,8,19,3,5.7,13.5,0,266,70,1.0,5.0,0.0,5.0
"Benyard, Gabriel",2022,True,29/10/2022,Charleston So,Cloudy,59.0,NE 10mph,03:15,01:03 PM,3845,206,25.75,17,7,11,25,1,6.3,14.4,1,325,76,2.0,61.0,1.0,37.0
"Benyard, Gabriel",2022,True,08/10/2022,North Ala,Sunny,70.0,S 10mph,03:42,06:02 PM,4505,109,36.33,27,10,13,18,0,9.6,13.2,2,449,87,2.0,17.0,0.0,10.0
"Benyard, Gabriel",2022,False,01/10/2022,Jacksonville St,Sunny,74.0,SE 10mph,03:21,01:02 PM,19654,136,34.0,14,8,12,23,1,9.7,18.7,2,336,57,0.0,0.0,0.0,0.0
"Benyard, Gabriel",2022,False,19/11/2022,Eastern Ky,Sunny,,,03:17,03:02 PM,7053,38,38.0,22,16,25,35,0,12.2,17.1,5,564,59,0.0,0.0,0.0,0.0
"Benyard, Gabriel",2022,True,22/10/2022,Tennessee Tech,Sunny,70.0,N 5mph,03:36,03:02 PM,7906,116,29.0,29,10,15,24,0,9.3,14.9,1,493,81,4.0,64.0,0.0,34.0
"Benyard, Gabriel",2022,True,15/10/2022,Central Ark,Sunny,67.0,SW 5mph,03:22,01:02 PM,4467,24,24.0,20,11,14,30,1,7.0,15.1,1,392,75,1.0,10.0,0.0,10.0
"Benyard, Gabriel",2023,False,09/09/2023,Chattanooga,Cloudy,79,NW 6mph,03:02,06:30 PM,8123,20,20.0,23,14,23,28,1,9.9,12.0,3,399,59,3.0,123.0,1.0,53.0
"Benyard, Gabriel",2023,True,16/09/2023,Furman,Cloudy,69,SE 7mph,03:24,05:03 PM,6993,80,40.0,17,10,17,31,1,9.9,18.1,2,490,63,6.0,136.0,2.0,61.0
"Benyard, Gabriel",2023,True,07/10/2023,Tennessee St,Sunny,63,SE 13mph,03:46,03:02 PM,10436,20,20.0,17,6,12,31,1,4.6,12.0,0,261,71,2.0,40.0,0.0,21.0
"Benyard, Gabriel",2024,True,07/09/2024,Louisiana,Sunny,78.0,SE 11mph,03:02,07:04 PM,11040,10,10.0,12,5,7,13,0,7.2,13.3,0,204,50,0.0,0.0,0.0,0.0
"Benyard, Gabriel",2024,False,31/08/2024,UTSA,Sunny,,,03:44,02:32 PM,25911,16,16.0,17,10,28,38,0,8.9,12.1,3,416,72,4.0,39.0,0.0,22.0
"Bohannon,  Blake",2022,True,24/9/2022,Wofford,Sunny,78.0,SW 7mph,03:04,6:03pm,7830,96,24.0,20,7,11,14,0,7.6,9.7,0,328,63,1.0,19.0,0.0,19.0
"Bohannon,  Blake",2022,False,5/11/2022,UT Martin,Cloudy,62.0,15 mph N,3:34,12 p.m.,3408,57,28.5,19,14,28,46,5,6.2,10.2,2,373,65,1.0,61.0,1.0,61.0
"Bohannon, Blake",2022,True,12/11/2022,Austin Peay,Cloudy,63.0,NW 11mph,03:50,01:02 PM,5201,14,14.0,17,4,8,19,3,5.7,13.5,0,266,70,1.0,12.0,0.0,12.0
"Bohannon, Blake",2022,True,29/10/2022,Charleston So,Cloudy,59.0,NE 10mph,03:15,01:03 PM,3845,206,25.75,17,7,11,25,1,6.3,14.4,1,325,76,0.0,0.0,0.0,0.0
"Bohannon, Blake",2022,False,10/09/2022,Cincinnati,Sunny,,,03:23,03:32 PM,39015,10,10.0,24,15,20,23,0,12.7,14.7,3,525,53,1.0,26.0,0.0,26.0
"Bohannon, Blake",2022,True,08/10/2022,North Ala,Sunny,70.0,S 10mph,03:42,06:02 PM,4505,109,36.33,27,10,13,18,0,9.6,13.2,2,449,87,1.0,9.0,0.0,9.0
"Bohannon, Blake",2022,False,01/10/2022,Jacksonville St,Sunny,74.0,SE 10mph,03:21,01:02 PM,19654,136,34.0,14,8,12,23,1,9.7,18.7,2,336,57,1.0,9.0,0.0,9.0
"Bohannon, Blake",2022,False,19/11/2022,Eastern Ky,Sunny,,,03:17,03:02 PM,7053,38,38.0,22,16,25,35,0,12.2,17.1,5,564,59,1.0,14.0,0.0,14.0
"Bohannon, Blake",2022,True,22/10/2022,Tennessee Tech,Sunny,70.0,N 5mph,03:36,03:02 PM,7906,116,29.0,29,10,15,24,0,9.3,14.9,1,493,81,2.0,13.0,0.0,10.0
"Bohannon, Blake",2022,True,15/10/2022,Central Ark,Sunny,67.0,SW 5mph,03:22,01:02 PM,4467,24,24.0,20,11,14,30,1,7.0,15.1,1,392,75,3.0,50.0,0.0,18.0
"Bohannon, Blake",2023,False,30/09/2023,Charleston So,Sunny,81,NE 9mph,02:54,06:03 PM,3087,206,25.75,14,8,15,31,0,6.0,12.5,0,265,55,0.0,0.0,0.0,0.0
"Bohannon, Blake",2023,True,31/08/2023,Tusculum,Sunny,82,E 6mph,03:18,07:02 PM,10108,38,38.0,19,7,13,19,0,13.1,19.2,2,446,58,1.0,55.0,1.0,55.0
"Bohannon, Blake",2023,False,04/11/2023,Sam Houston,Sunny,73,S 9mph,03:09,12:02 PM,7143,48,24.0,27,11,30,38,1,6.4,8.1,3,347,81,0.0,0.0,0.0,0.0
"Bohannon, Blake",2023,False,09/09/2023,Chattanooga,Cloudy,79,NW 6mph,03:02,06:30 PM,8123,20,20.0,23,14,23,28,1,9.9,12.0,3,399,59,1.0,11.0,0.0,11.0
"Bohannon, Blake",2023,True,16/09/2023,Furman,Cloudy,69,SE 7mph,03:24,05:03 PM,6993,80,40.0,17,10,17,31,1,9.9,18.1,2,490,63,3.0,66.0,0.0,33.0
"Bohannon, Blake",2023,True,07/10/2023,Tennessee St,Sunny,63,SE 13mph,03:46,03:02 PM,10436,20,20.0,17,6,12,31,1,4.6,12.0,0,261,71,1.0,10.0,0.0,10.0
"Bohannon, Blake",2023,True,11/11/2023,Virginia-Lynchburg,Rain,,,02:58,03:03 PM,5735,63,63.0,33,7,9,12,0,13.0,17.3,2,538,63,1.0,10.0,0.0,10.0
"Bohannon, Blake",2024,False,14/09/2024,San Jose St,Sunny,79.0,,03:16,04:05 PM,11090,10,10.0,18,13,26,39,0,9.1,13.7,4,417,64,3.0,13.0,0.0,6.0
"Bohannon, Blake",2024,True,07/09/2024,Louisiana,Sunny,78.0,SE 11mph,03:02,07:04 PM,11040,10,10.0,12,5,7,13,0,7.2,13.3,0,204,50,1.0,7.0,0.0,7.0
"Bohannon, Blake",2024,False,31/08/2024,UTSA,Sunny,,,03:44,02:32 PM,25911,16,16.0,17,10,28,38,0,8.9,12.1,3,416,72,2.0,15.0,0.0,10.0
"Bohannon, Blake",2024,True,28/09/2024,UT Martin,Cloudy,72.0,S 8mph,03:09,06:02 PM,10847,57,28.5,13,6,17,35,2,4.3,8.8,0,215,65,4.0,54.0,0.0,32.0
"Chivers,  Trey",2017,True,25/11/2017,Samford,Partly Cloudy,62,,3:13,2:04 pm,5566,92,23.0,15,2,5,11,0,4.9,10.8,2,383,61,,,,
"Chivers,  Trey",2017,False,2/12/2017,Jacksonville State,Partly Cloudy,65,NW 2 mph,2:44,1:04 pm,17412,136,34.0,14,4,15,22,1,4.0,5.9,0,187,51,,,,
"Chivers,  Trey",2017,False,28/10/2017,Presbyterian,partly cloudy,68,sse 9,2:41,2:36 PM,2804,190,38.0,16,6,13,28,1,4.2,9.1,0,250,58,,,,
"Chivers,  Trey",2017,False,14/10/2017,Liberty,Sunny,73,SSE 3,2:54,6:05 PM,17726,98,32.67,20,12,19,26,1,9.0,12.3,2,337,52,,,,
"Chivers,  Trey",2017,False,16/9/2017,Alabama State,Partly Cloudy,78,E4,2:54,7:54 pm,11000,124,41.33,15,9,20,37,3,4.3,8.0,1,195,66,,,,
"Chivers,  Trey",2017,False,4/11/2017,Montana State,"mild, 14"" snow",20 F,0-8 NNW,2:50 hrs,12:07 pm,16337,16,16.0,14,5,5,18,1,6.1,22.0,1,273,51,,,,
"Chivers,  Trey",2017,True,18/11/2017,Monmouth,Partly Cloudy,65,,2:50,2:06 pm,6808,262,37.43,26,3,6,8,0,14.3,19.0,1,519,71,,,,
"Chivers,  Trey",2017,True,7/10/2017,Texas Southern,Overcast,78,SE 8,2:39,7:07 pm,6743,48,48.0,20,4,6,10,0,13.8,23.0,0,484,62,,,,
"Chivers,  Trey",2017,False,9/12/2017,Sam Houston State,Clear,47 deg,NW 1mph,3:06,7:34 pm,5725,48,24.0,22,13,20,29,1,10.9,15.8,3,482,66,,,,
"Chivers,  Trey",2017,True,30/9/2017,North Greenville,Sunny,78,WNW 5,3:19,3:37 pm,6161,38,38.0,21,6,7,13,0,10.2,19.0,1,448,67,1.0,26.0,1.0,26.0
"Chivers,  Trey",2017,True,9/9/2017,Tennessee Tech,Sunny and clear,74,"ENE, 8",2:57,7:07 pm,8418,116,29.0,18,4,6,12,0,8.0,16.0,1,405,57,,,,
"Chivers,  Trey",2018,False,30/8/2018,Georgia State,Mostly Sunny,83 deg.,S 6 mph,3:16,7:05 pm,23088,20,20.0,21,12,20,28,0,6.7,9.4,3,315,66,,,,
"Chivers,  Trey",2018,False,27/10/2018,Charleston So,,,,2:57,6:05 pm,1242,206,25.75,9,3,6,14,0,4.5,10.5,0,186,48,2.0,29.0,0.0,27.0
"Chivers,  Trey",2018,True,3/11/2018,Campbell,Sunny,62,1 NW,2:40,2:05 pm,6012,117,39.0,26,4,4,5,0,14.4,18.0,2,467,63,,,,
"Chivers,  Trey",2018,True,6/10/2018,Presbyterian,,,,2:51,2:05 pm,6414,190,38.0,34,6,7,10,0,15.2,21.7,2,637,75,,,,
"Chivers,  Trey",2018,False,13/10/2018,Gardner-Webb,"Sunny, Crisp",65,7 mph N,2:45,1:35,4150,208,34.67,10,3,7,20,2,2.7,7.7,0,268,49,,,,
"Chivers,  Trey",2018,False,10/11/2018,Monmouth,Sunny,44,,2:56,12:05 PM,2332,262,37.43,11,7,12,20,0,4.2,7.0,0,192,53,1.0,25.0,0.0,25.0
"Chivers,  Trey",2018,True,22/9/2018,Clark-Atlanta,A few clouds,88,6mph,3:03,6:05 pm,6009,126,63.0,25,3,6,11,0,4.8,8.8,1,392,70,1.0,5.0,0.0,5.0
"Chivers,  Trey",2018,True,29/9/2018,Samford,Partly Cloudy,83,6 mph,2:41,6:05 pm,6304,92,23.0,18,4,5,12,0,5.5,13.2,1,286,67,1.0,10.0,0.0,10.0
"Chivers,  Trey",2018,False,6/9/2018,Tennessee Tech,Early rain,74,10 mph,3:02,7:03 PM,4118,116,29.0,17,8,20,33,1,5.6,9.2,1,347,68,,,,
"Chivers,  Trey",2018,True,15/9/2018,Alabama State,Light Rain,78,NW 6,3:06,6:46 PM,8799,124,41.33,20,4,6,6,0,24.3,24.3,1,563,61,,,,
"Clemons,  Yesiah",2021,False,6/11/2021,RMU,Sunny,53,SW 4 mph,3:15,Noon,2144,80,40.0,24,16,26,37,1,8.0,11.4,2,396,64,,,,
"Clemons,  Yesiah",2022,False,1/9/2022,Samford,Partly Cloudy,89.0,,3:04,6 p.m.,5333,92,23.0,21,11,18,24,0,12.0,16.1,4,402,56,,,,
"Clemons,  Yesiah",2023,False,23/9/2023,Tennessee Tech,"Mostly sunny, mild",79 deg,9 mph S,2:58,6:05 PM,9923,116,29.0,19,5,9,19,1,7.2,15.2,0,361,70,,,,
"Clemons, Yesiah",2021,True,27/11/2021,Davidson,Sunny,56,W 6mph,02:56,02:02 PM,2764,48,48.0,21,4,5,8,0,14.0,22.4,1,417,64,,,,
"Clemons, Yesiah",2021,True,02/09/2021,Reinhardt,Sunny,78,SE 5mph,03:27,08:05 PM,6348,66,33.0,24,4,4,9,1,8.0,18.0,0,404,76,,,,
"Clemons, Yesiah",2022,False,10/09/2022,Cincinnati,Sunny,,,03:23,03:32 PM,39015,10,10.0,24,15,20,23,0,12.7,14.7,3,525,53,,,,
"Clemons, Yesiah",2022,True,08/10/2022,North Ala,Sunny,70.0,S 10mph,03:42,06:02 PM,4505,109,36.33,27,10,13,18,0,9.6,13.2,2,449,87,,,,
"Clemons, Yesiah",2022,False,01/10/2022,Jacksonville St,Sunny,74.0,SE 10mph,03:21,01:02 PM,19654,136,34.0,14,8,12,23,1,9.7,18.7,2,336,57,,,,
"Clemons, Yesiah",2022,False,19/11/2022,Eastern Ky,Sunny,,,03:17,03:02 PM,7053,38,38.0,22,16,25,35,0,12.2,17.1,5,564,59,,,,
"Clemons, Yesiah",2022,True,15/10/2022,Central Ark,Sunny,67.0,SW 5mph,03:22,01:02 PM,4467,24,24.0,20,11,14,30,1,7.0,15.1,1,392,75,1.0,53.0,1.0,53.0
"Clemons, Yesiah",2023,False,30/09/2023,Charleston So,Sunny,81,NE 9mph,02:54,06:03 PM,3087,206,25.75,14,8,15,31,0,6.0,12.5,0,265,55,,,,
"Clemons, Yesiah",2023,True,31/08/2023,Tusculum,Sunny,82,E 6mph,03:18,07:02 PM,10108,38,38.0,19,7,13,19,0,13.1,19.2,2,446,58,1.0,1.0,0.0,1.0
"Clemons, Yesiah",2023,False,09/09/2023,Chattanooga,Cloudy,79,NW 6mph,03:02,06:30 PM,8123,20,20.0,23,14,23,28,1,9.9,12.0,3,399,59,,,,
"Clemons, Yesiah",2023,True,07/10/2023,Tennessee St,Sunny,63,SE 13mph,03:46,03:02 PM,10436,20,20.0,17,6,12,31,1,4.6,12.0,0,261,71,,,,
"Clemons, Yesiah",2023,True,11/11/2023,Virginia-Lynchburg,Rain,,,02:58,03:03 PM,5735,63,63.0,33,7,9,12,0,13.0,17.3,2,538,63,1.0,1.0,0.0,1.0
"Clemons, Yesiah",2024,False,31/08/2024,UTSA,Sunny,,,03:44,02:32 PM,25911,16,16.0,17,10,28,38,0,8.9,12.1,3,416,72,,,,
"Clemons, Yesiah",2024,True,28/09/2024,UT Martin,Cloudy,72.0,S 8mph,03:09,06:02 PM,10847,57,28.5,13,6,17,35,2,4.3,8.8,0,215,65,,,,
"Cousin,  Iaan",2019,True,23/11/2019,Gardner-Webb,Periods of Rain,62,S at 6,3:00,2:05 pm,4383,208,34.67,17,2,3,6,0,4.7,9.3,0,350,59,,,,
"Cousin,  Iaan",2019,False,16/11/2019,Hampton,cloudy,40s,much,2:43,1 pm,3612,84,42.0,11,4,12,27,3,2.4,5.4,1,126,52,,,,
"Cousin,  Iaan",2019,True,31/8/2019,Point University,Partly cloudy,Mid 80s,Calm,2:49,6:05 PM,6621,164,54.67,24,5,6,7,0,22.7,26.5,3,592,62,,,,
"Cousin,  Iaan",2021,False,6/11/2021,RMU,Sunny,53,SW 4 mph,3:15,Noon,2144,80,40.0,24,16,26,37,1,8.0,11.4,2,396,64,2.0,75.0,0.0,55.0
"Cousin,  Iaan",2022,True,24/9/2022,Wofford,Sunny,78.0,SW 7mph,03:04,6:03pm,7830,96,24.0,20,7,11,14,0,7.6,9.7,0,328,63,6.0,56.0,0.0,28.0
"Cousin, Iaan",2021,True,16/10/2021,N.C. A T,Sunny,60,N 13mph,03:07,05:05 PM,9556,14,14.0,21,6,6,13,1,9.9,21.5,0,351,72,1.0,24.0,0.0,24.0
"Cousin, Iaan",2021,True,27/11/2021,Davidson,Sunny,56,W 6mph,02:56,02:02 PM,2764,48,48.0,21,4,5,8,0,14.0,22.4,1,417,64,1.0,19.0,0.0,19.0
"Cousin, Iaan",2021,False,23/10/2021,Campbell,Sunny,0,,02:46,4:05pm,5977,117,39.0,12,5,13,23,2,4.5,8.0,0,188,46,,,,
"Cousin, Iaan",2021,False,11/09/2021,Georgia Tech,Sunny,79,,03:12,12:11 PM,35195,17,17.0,20,12,17,23,0,11.0,14.9,4,412,59,1.0,6.0,0.0,6.0
"Cousin, Iaan",2021,True,02/09/2021,Reinhardt,Sunny,78,SE 5mph,03:27,08:05 PM,6348,66,33.0,24,4,4,9,1,8.0,18.0,0,404,76,1.0,10.0,0.0,10.0
"Cousin, Iaan",2021,False,13/11/2021,North Ala,Sunny,48,NW 7mph,03:04,02:04 PM,7023,109,36.33,20,9,21,34,2,7.3,11.9,3,330,65,,,,
"Cousin, Iaan",2021,True,20/11/2021, 24 Monmouth,Sunny,56,E 16mph,03:18,01:05 PM,4630,262,37.43,26,3,4,6,0,16.7,25.0,1,571,73,1.0,24.0,0.0,24.0
"Cousin, Iaan",2021,True,02/10/2021,Jacksonville St,Cloudy,81,S 6mph,02:55,03:05 PM,7476,136,34.0,22,5,5,6,0,12.0,14.4,0,343,68,,,,
"Cousin, Iaan",2021,False,18/09/2021,Wofford,Cloudy,84,NW 1mph,03:19,06:04 PM,4597,96,24.0,12,8,15,28,1,5.6,10.4,0,223,53,1.0,33.0,1.0,33.0
"Cousin, Iaan",2021,True,30/10/2021,Gardner-Webb,Cloudy,56,NE 10mph,03:37,01:05 PM,4041,208,34.67,19,7,12,14,0,14.9,17.4,4,417,60,2.0,28.0,0.0,24.0
